"part_id","hh_id","part_age","part_gender"
2135512,"HH2135512",39,"M"
2135812,"HH2135812",8,NA
2135912,"HH2135912",42,"M"
2136012,"HH2136012",13,NA
2136312,"HH2136312",13,NA
2136412,"HH2136412",37,"M"
2136612,"HH2136612",13,NA
2136812,"HH2136812",16,NA
2136912,"HH2136912",13,NA
2137112,"HH2137112",16,NA
2137512,"HH2137512",38,"M"
2137612,"HH2137612",13,NA
2137712,"HH2137712",33,"F"
2137912,"HH2137912",44,"F"
2138012,"HH2138012",32,"F"
2138112,"HH2138112",28,"M"
2138212,"HH2138212",35,"F"
2138412,"HH2138412",43,"F"
2138612,"HH2138612",37,"M"
2138712,"HH2138712",30,"F"
2138812,"HH2138812",36,"M"
2138912,"HH2138912",44,"M"
2139012,"HH2139012",30,"F"
2139112,"HH2139112",30,"F"
2139412,"HH2139412",30,"M"
2139512,"HH2139512",40,"F"
2139712,"HH2139712",13,NA
2139812,"HH2139812",32,"M"
2139912,"HH2139912",16,NA
2140012,"HH2140012",13,NA
2140212,"HH2140212",39,"F"
2140612,"HH2140612",28,"M"
2140712,"HH2140712",37,"F"
2140812,"HH2140812",30,"F"
2140912,"HH2140912",25,"M"
2141112,"HH2141112",43,"M"
2141212,"HH2141212",25,"F"
2141612,"HH2141612",33,"F"
2142012,"HH2142012",37,"F"
2142212,"HH2142212",30,"M"
2142312,"HH2142312",31,"M"
2142512,"HH2142512",38,"M"
2142712,"HH2142712",16,NA
2142912,"HH2142912",42,"M"
2143312,"HH2143312",13,NA
2144312,"HH2144312",40,"M"
2144412,"HH2144412",41,"M"
2145112,"HH2145112",29,"M"
2145212,"HH2145212",43,"M"
2145612,"HH2145612",30,"M"
2145812,"HH2145812",25,"F"
2146212,"HH2146212",41,"M"
2146712,"HH2146712",42,"M"
2147312,"HH2147312",0,NA
2147612,"HH2147612",16,NA
